file	format	accession	type	target	strand	start	stop
type-Ia-AB033763.gb	genbank	AB033763	Ia	Ia	+	1	39332
type-Ib-AB433542.gb	genbank	AB433542	Ib	Ib	+	1	16367
type-IIa-D86934.gb	genbank	D86934	IIa	IIa	+	1	58237
type-IIb-AB127982.gb	genbank	AB127982	IIb	IIb	+	1	26207
type-IIc-AJ810120.gb	genbank	AJ810120	IIc	IIc	+	1	27029
type-IId-AB261975.gb	genbank	AB261975	IId	IId	+	1	17615
type-IIe-AB435013.gb	genbank	AB435013	IIe	IIe	+	1	26707
type-III-AB037671.gb	genbank	AB037671	III	III	+	1	68256
type-IVa-AB063172.gb	genbank	AB063172	IVa	IVa	+	1	26090
type-IVb-AB063173.gb	genbank	AB063173	IVb	IVb	+	1	21777
type-IVc-AB096217.gb	genbank	AB096217	IVc	IVc	+	1	31263
type-IVd-AB097677.gb	genbank	AB097677	IVd	IVd	+	1	14223
type-IVg-DQ106887.gb	genbank	DQ106887	IVg	IVg	+	1	23157
type-IVi-AB425823.gb	genbank	AB425823	IVi	IVi	+	1	23124
type-IVj-AB425824.gb	genbank	AB425824	IVj	IVj	+	1	23328
type-IVk-GU122149.gb	genbank	GU122149	IVk	IVk	+	1	51121
type-IVl-AB633329.gb	genbank	AB633329	IVl	IVl	+	1	36033
type-IVm-AB872254.gb	genbank	AB872254	IVm	IVm	+	1	30461
type-IVn-KX385846.gb	genbank	KX385846	IVn	IVn	+	1	28019
type-IX-AB505628.gb	genbank	AB505628	IX	IX	+	1	44355
type-VI-AF411935.gb	genbank	AF411935	VI	VI	+	1	23293
type-VII-AB373032.gb	genbank	AB373032	VII	VII	+	1	33261
type-VIII-FJ390057.gb	genbank	FJ390057	VIII	VIII	+	1	33371
type-Va-AB121219.gb	genbank	AB121219	Va	Va	+	1	28612
type-Vb-AB512767.gb	genbank	AB512767	Vb	Vb	+	1	42083
type-Vc-AB505629.gb	genbank	AB505629	Vc	Vc	+	1	47212
type-X-AB505630.gb	genbank	AB505630	X	X	+	1	51483
type-XI-FR821779.gb	genbank	FR821779	XI	XI	+	34403	63821
type-XII-KR187111.gb	genbank	KR187111	XII	XII	+	1	49939
type-XIII-MG674089.gb	genbank	MG674089	XIII	XIII	+	1	32817
type-XIV-LC440647.gb	genbank	LC440647	XIV	XIV	+	463	81928
type-XV-NZ_CP080249.gb	genbank	NZ_CP080249	XV	XV	+	33542	68792
